Dataset,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,B.1,B.2,B.3,B.4,B.5,Train_Test
CPC18,47,0.4,-11,-,1,21,0.4,1,R-skew,7,0,1,0.72333333,0.70166667,0.658333333,0.633333333,0.626666667,Test
CPC18,61,0.2,-13,L-skew,4,53,0.4,-43,L-skew,3,0,0,0.3,0.31,0.348333333,0.306666667,0.321666667,Test
CPC18,3,1,3,-,1,68,0.01,-1,-,1,0,0,0.14333333,0.10666667,0.138333333,0.131666667,0.121666667,Test
CPC18,56,0.5,0,-,1,41,0.6,5,-,1,0,0,0.64833333,0.58833333,0.545,0.528333333,0.533333333,Test
CPC18,8,0.99,5,R-skew,3,8,1,8,Symm,5,0,0,0.38,0.405,0.486666667,0.511666667,0.49,Test
CPC18,23,1,23,-,1,242,0.1,2,-,1,0,0,0.37333333,0.38666667,0.378333333,0.401666667,0.38,Test
CPC18,19,1,19,-,1,26,0.8,-19,-,1,1,0,0.16166667,0.30833333,0.548333333,0.576666667,0.573333333,Test
CPC18,0,1,0,-,1,7,0.05,-2,Symm,7,0,0,0.29666667,0.175,0.115,0.101666667,0.095,Test
CPC18,2,1,2,-,1,0,0.99,-3,R-skew,4,1,0,0.40666667,0.33333333,0.308333333,0.241666667,0.228333333,Test
CPC18,24,0.75,20,-,1,17,0.95,7,-,1,0,0,0.12166667,0.03,0.016666667,0.005,0.005,Test
CPC18,22,0.75,10,-,1,29,0.75,-3,-,1,0,0,0.25666667,0.37833333,0.453333333,0.523333333,0.518333333,Test
CPC18,25,0.4,5,Symm,9,46,0.01,8,Symm,7,0,0,0.46166667,0.36666667,0.295,0.298333333,0.288333333,Test
CPC18,18,1,18,-,1,34,0.1,19,-,1,0,0,0.86666667,0.945,0.981666667,0.99,0.988333333,Test
CPC18,-8,1,-8,-,1,47,0.25,-17,-,1,1,0,0.695,0.635,0.566666667,0.505,0.56,Test
CPC18,-8,1,-8,-,1,-8,0.6,-19,L-skew,4,0,0,0.20833333,0.21,0.181666667,0.171666667,0.14,Test
CPC18,15,1,15,-,1,43,0.01,7,Symm,3,0,0,0.195,0.12166667,0.088333333,0.081666667,0.061666667,Test
CPC18,20,0.6,10,L-skew,2,75,0.5,-49,-,1,1,0,0.11666667,0.23,0.328333333,0.31,0.328333333,Test
CPC18,31,0.05,2,Symm,9,28,0.05,14,-,1,1,0,0.86166667,0.945,0.951666667,0.963333333,0.95,Test
CPC18,34,0.1,30,L-skew,5,35,0.95,-1,Symm,9,1,0,0.26166667,0.48,0.766666667,0.808333333,0.82,Test
CPC18,19,1,19,-,1,58,0.01,16,L-skew,2,0,0,0.45833333,0.38166667,0.346666667,0.323333333,0.316666667,Test
CPC18,17,1,17,-,1,104,0.4,-42,R-skew,7,0,0,0.28666667,0.37333333,0.433333333,0.458333333,0.456666667,Test
CPC18,23,1,23,-,1,40,0.25,17,-,1,0,0,0.55666667,0.58333333,0.56,0.505,0.5,Test
CPC18,42,0.4,4,R-skew,3,19,1,19,R-skew,4,1,0,0.59333333,0.63166667,0.583333333,0.605,0.555,Test
CPC18,-8,1,-8,-,1,-7,0.9,-29,-,1,0,0,0.28166667,0.37,0.343333333,0.34,0.348333333,Test
CPC18,24,1,24,-,1,71,0.1,16,-,1,0,0,0.34166667,0.32,0.361666667,0.383333333,0.39,Test
CPC18,8,1,8,-,1,3,0.99,-28,-,1,0,0,0.055,0.01833333,0.011666667,0.006666667,0.005,Test
CPC18,26,1,26,-,1,22,0.9,-9,-,1,0,0,0.03666667,0.01333333,0.008333333,0.01,0.011666667,Test
CPC18,-10,1,-10,-,1,-6,0.25,-19,Symm,3,0,0,0.23333333,0.19833333,0.183333333,0.153333333,0.12,Test
CPC18,18,0.75,7,-,1,16,0.8,9,-,1,0,0,0.3,0.30666667,0.225,0.23,0.221666667,Test
CPC18,19,1,19,L-skew,4,78,0.1,13,-,1,0,0,0.44833333,0.37833333,0.446666667,0.435,0.436666667,Test
CPC18,-5,1,-5,-,1,138,0.2,-35,-,1,0,0,0.35333333,0.36833333,0.415,0.383333333,0.323333333,Test
CPC18,29,1,29,-,1,79,0.1,17,L-skew,4,0,0,0.42,0.38,0.37,0.335,0.318333333,Test
CPC18,219,0.05,-21,Symm,5,-4,0.75,-15,L-skew,5,0,0,0.48333333,0.59833333,0.666666667,0.68,0.72,Test
CPC18,78,0.2,17,Symm,3,214,0.25,-34,-,1,0,0,0.23833333,0.26833333,0.278333333,0.25,0.218333333,Test
CPC18,0,1,0,-,1,-7,0.8,-15,-,1,0,0,0.065,0.02333333,0.011666667,0.008333333,0.008333333,Test
CPC18,1,1,1,-,1,74,0.05,4,-,1,1,0,0.92666667,0.95,0.97,0.973333333,0.97,Test
CPC18,34,0.8,-21,Symm,3,48,0.4,4,-,1,0,0,0.65833333,0.58166667,0.543333333,0.531666667,0.57,Test
CPC18,1,1,1,-,1,13,0.4,-3,-,1,1,0,0.49833333,0.53333333,0.595,0.608333333,0.583333333,Test
CPC18,3,0.95,-8,Symm,5,67,0.2,-13,Symm,7,1,0,0.64166667,0.52,0.435,0.373333333,0.375,Test
CPC18,82,0.2,-29,-,1,-7,0.99,-10,-,1,0,0,0.60833333,0.67833333,0.663333333,0.636666667,0.663333333,Test
CPC18,28,1,28,-,1,69,0.4,3,Symm,3,0,0,0.435,0.48833333,0.508333333,0.508333333,0.486666667,Test
CPC18,55,0.05,9,L-skew,3,23,0.8,-17,Symm,5,0,0,0.37166667,0.50333333,0.58,0.625,0.593333333,Test
CPC18,103,0.01,9,-,1,29,0.75,-44,-,1,1,0,0.14,0.30166667,0.45,0.466666667,0.47,Test
CPC18,26,0.75,-9,R-skew,3,82,0.01,13,Symm,9,0,0,0.60333333,0.47,0.423333333,0.388333333,0.361666667,Test
CPC18,30,0.4,13,R-skew,2,146,0.25,-25,Symm,5,0,1,0.20166667,0.275,0.278333333,0.305,0.26,Test
CPC18,-2,1,-2,-,1,11,0.5,-12,-,1,0,0,0.65,0.71166667,0.685,0.678333333,0.663333333,Test
CPC18,-7,1,-7,-,1,-6,0.75,-19,R-skew,5,0,0,0.28833333,0.28,0.305,0.273333333,0.251666667,Test
CPC18,16,1,16,-,1,23,0.8,-15,R-skew,3,0,0,0.475,0.62,0.641666667,0.616666667,0.571666667,Test
CPC18,-3,1,-3,-,1,149,0.2,-34,-,1,0,0,0.355,0.33166667,0.345,0.34,0.328333333,Test
CPC18,62,0.25,-18,-,1,-5,0.9,-23,-,1,0,0,0.41166667,0.41833333,0.431666667,0.461666667,0.498333333,Test
